,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
BALANCE,1452.3995929909956,1335.5851842972686,1451.6859774955658,2207.208959095621,2222.1547302411423,1208.6040437420538,1377.7688313541978,2583.20038398145,1226.643734095969,2255.6852530177503,1266.1183046246708,2597.5483987141524,1384.0674205212217,1295.2216348971117,1182.5386777451224,2391.164924678501,1810.1398046025606,1237.8327302088464,2583.968375625913,1264.3660963776385,1755.7588715277855,2419.4788194383755,2581.6970370552044,1285.5177051405115,1075.6265745024346,1840.9837853534666,1345.603643019716,2420.694379575501,1847.2652986965304,1239.3694817862843,2588.3596450695186,919.6673698601764,1291.779596573059,1795.5727910434819
BALANCE_FREQUENCY,0.8832520119553052,0.852552705075215,0.9357844712175223,0.971289207889125,0.9716161438053088,0.852246061341964,0.9441940408734585,0.8599116990014254,0.8455716454762848,0.9708203689655163,0.9197482010159632,0.8590195918674687,0.9604031754901945,0.9579464238845136,0.9177050293906797,0.9782137673179389,0.9525570121457482,0.843326516856258,0.8576284556574912,0.83776813299586,0.9479794265486718,0.9795748095238089,0.8571722177293922,0.9602932479224365,0.9034006104582829,0.966887583892617,0.8856481123595495,0.9792822085020236,0.9647201961722482,0.9739554513618671,0.858698284126983,0.922829601777059,0.8356130662095076,0.9534385642458093
PURCHASES,823.8630218994441,240.23513473301324,1360.3595259806434,3464.825124200435,3508.7304386062033,256.7560568447556,1408.9511083426662,368.0287161198289,188.05422080510235,3558.187018965528,1227.4090417271395,330.3337951807228,1395.6705490196077,1004.9203018372704,1102.609476702508,3829.0199253996584,2542.501319838058,172.08793795243076,302.61113149847085,131.37341003221385,2530.920774336286,3858.2863866666803,283.92513219284604,1003.8302216066476,843.7006933019962,2245.51846868009,1025.0186292134833,3879.087485829972,2331.4241507177035,999.285291828793,270.1188888888889,760.2443618739911,123.81405296760478,2647.8645493482336
ONEOFF_PURCHASES,447.9487298324025,74.11652008596492,778.2536882322979,2167.4822089552376,2180.942353982315,78.28610001798918,827.923025755879,176.4711697574893,63.919653248306076,2200.0856919540374,408.8113134978238,178.29298192771085,1071.1659117647066,834.6419816272966,353.49591397849514,2484.360127886339,1473.2928340080991,58.54436814891404,162.9210703363915,40.70218821905195,1881.7977699115072,2476.1413180952513,159.51581648522554,825.3492936288088,329.9003407755589,467.78131991051436,828.6177977528098,2492.7628097166116,485.4678468899518,791.0914396887154,146.51669841269845,73.73832794830363,48.37294395838252,1941.4099702048447
INSTALLMENTS_PURCHASES,336.3360402234608,166.44765581087825,540.3450445746322,1004.9769376332671,1024.5565431415978,178.79134061881683,537.1778709406509,186.4589229671897,124.41429852530914,1043.4975344827635,762.5313407111778,150.18919804216864,321.13719607843154,170.6522703412073,720.059939068102,1064.6284680284225,857.460522941973,113.77495346432272,138.86993883792044,90.87122641509441,567.4571548672574,1115.763561904766,124.3277799377916,178.87559556786695,511.5925543478267,1407.3167281879244,196.8265393258428,1115.2024797570882,1444.2968720095741,208.18803015564188,123.51897222222222,683.7433582390966,75.57599432489953,613.5848510242097
CASH_ADVANCE,817.1611457379878,912.7351950277703,619.4316363301073,614.6191444733473,628.7049499081855,711.8285796182731,475.2669740856659,2766.563608877313,745.2867277594621,626.0041338862065,462.41008648621164,2830.0133391777067,502.73519763235277,473.5700203477688,438.24955957347635,635.2141941882765,624.3582225371116,759.6709128289516,2825.825482399078,796.4159567517221,544.3553349557519,646.1967545676184,2839.7606748584717,482.5485643670356,438.7148433466509,636.4554924630864,514.1190844426964,649.7900532935219,649.6999624330135,451.59178269066126,2863.7634243857106,374.15174002261693,820.7177540976553,545.9050813482306
PURCHASES_FREQUENCY,0.4903505483798885,0.3360951167135083,0.7666818364747834,0.9068247356076752,0.9088236725663711,0.35772204029501886,0.785582700447928,0.2502614593437948,0.3127948371861314,0.9060746333333327,0.754037946298984,0.23246614909638574,0.820908010784313,0.7933199330708658,0.755643402867384,0.934271680284192,0.8338996464237515,0.2983935789038276,0.2192011070336392,0.2619624415554541,0.8075698407079648,0.9371447961904767,0.21141657387247273,0.8005866565096946,0.6905968730904823,0.9228419642058163,0.49426563707865134,0.9374177125506077,0.923835251196172,0.9034237859922182,0.20757807777777762,0.8618770250403881,0.2346473691179955,0.8287374487895716
ONEOFF_PURCHASES_FREQUENCY,0.20245768357542138,0.04876404794180886,0.43854649108507465,0.6995264179104472,0.6969149148230086,0.05089502986148623,0.47414277827547674,0.07452312696148371,0.047185396173774874,0.6874169505747124,0.15301097822931828,0.07665632981927722,0.7013904627450979,0.7160254855643038,0.13226997275985705,0.779961648312611,0.5185599473684215,0.04390150382626717,0.07069286850152914,0.03481343350207089,0.6511360247787613,0.771729144761905,0.06943981804043557,0.7181765429362884,0.13499550176263275,0.21188326621923947,0.31418321123595483,0.7776780344129555,0.21569814114832545,0.837313406614786,0.0673012730158731,0.0527850936995155,0.03847162733506745,0.6652050037243948
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644373415642452,0.2786308784923124,0.4790892491085063,0.6778505618336892,0.6821853362831863,0.29825600701564975,0.4811995100783865,0.18201311697574882,0.2546804888401752,0.6878684390804599,0.6569437053701009,0.1639402801204818,0.3638796078431374,0.25405125328083983,0.668028983512544,0.700511474245116,0.6287374237516874,0.24314125791106497,0.15345007186544335,0.21466776852277916,0.5033944053097344,0.7251891885714288,0.1460959253499222,0.2608885263157894,0.5799816034077544,0.8818703288590605,0.23950026629213486,0.7248590728744939,0.883377019138756,0.304642807392996,0.14434869841269837,0.8150803093699497,0.18473491392764202,0.5277235325884543
CASH_ADVANCE_FREQUENCY,0.12763742659218116,0.143699684410648,0.09896097962302619,0.08406734968017061,0.08483242146017704,0.12779566486778282,0.08529569988801784,0.2894611098430819,0.13430975886807553,0.08345422528735638,0.07795011393323652,0.29367487951807286,0.09153729901960792,0.09032395800524945,0.07560629175627238,0.08445285079928963,0.09170442105263168,0.13678537394002127,0.292354925076453,0.14229119144040528,0.08681497168141593,0.08637515238095249,0.293727510108865,0.09205177285318572,0.08041330552291409,0.08359825727069352,0.09712511910112358,0.08487912753036446,0.08347708133971288,0.08428865758754867,0.2962171253968257,0.06422884006462043,0.14706276542917987,0.08883613594040966
CASH_ADVANCE_TRX,2.731731843575419,3.0457926930071086,2.119714722363729,1.9872068230277184,2.0132743362831858,2.626011872638964,1.7665173572228443,6.955777460770328,2.758668792347549,1.9873563218390804,1.6799709724238026,7.039156626506024,1.8509803921568628,1.804461942257218,1.6014336917562724,2.0142095914742453,2.080971659919028,2.8109617373319544,6.992354740061162,2.912333179935573,1.8814159292035397,2.0952380952380953,7.020217729393468,1.8601108033240996,1.7144535840188013,1.9105145413870246,2.004494382022472,2.07085020242915,1.9401913875598087,1.6692607003891051,7.082539682539682,1.3667205169628434,3.020572239300071,1.945996275605214
PURCHASES_TRX,12.684022346368716,5.119854521408497,21.65104431991849,42.698294243070364,42.97787610619469,5.530670983989927,22.68141097424412,4.873038516405136,4.305898764447988,43.224137931034484,20.261248185776488,4.418674698795181,22.99607843137255,18.349081364829395,19.06236559139785,47.225577264653644,32.794871794871796,4.01406411582213,4.053516819571866,3.3359410952600093,29.88141592920354,48.205714285714286,3.774494556765163,18.598337950138504,14.342538190364277,37.06263982102908,10.689887640449438,48.502024291497975,37.066985645933016,21.747081712062258,3.6952380952380954,17.43053311793215,2.9550721210688105,31.605214152700185
CREDIT_LIMIT,4366.500349867374,3703.507308161845,5010.857067876719,7293.550106609808,7321.847345132744,3472.2242300681773,4909.422783263718,6263.772532746077,3423.5911929174968,7339.252873563219,4359.1900499920175,6262.808050384036,5245.077540106863,4983.132903841208,4203.450816407885,7840.230905861456,5989.1117654278005,3411.40240042606,6227.9886016131495,3411.845514509894,6030.619469026548,7898.0,6227.067722325039,4976.450516242382,3897.36421203819,5521.771405328859,4392.5842696629215,7947.2672064777325,5622.803392779904,5188.224266005836,6245.880230880952,3568.1453060492727,3453.3177124757626,6091.992551210428
PAYMENTS,1479.577413292575,1057.5626452723586,1675.7361566773848,3790.566452194512,3877.832866018253,708.9916483169834,1424.59187681859,4637.733627811701,672.3751230722607,3927.125296882701,1332.6613197930333,4724.989126963484,1448.863131495589,1159.0428823264433,1237.2048787479926,4478.4043207301975,2460.6103962149823,664.6129186357305,4701.940319590602,653.1043022604003,2104.4202791181438,4664.814736026575,4703.920898017888,1162.5195925289474,1017.5059654232956,2617.552395631657,1129.0300293203936,4785.516083467109,2700.3407213478476,1201.003904214495,4728.351054257939,969.4047799119542,659.3500385707492,2159.9667681971155
MINIMUM_PAYMENTS,631.8102321491147,590.3873081439225,659.5019717245046,840.9876122353969,853.0174042298697,545.8967888994399,616.9872691181421,1065.6124567386585,537.9672112516108,865.9540515137955,686.1557519876642,1053.9681159036138,545.5339526058824,536.0446246291338,649.902392100646,905.7848039172288,705.6519882215918,542.108534913006,1048.4434290593265,543.6610656302332,620.4974602499112,927.060496638857,1045.175471108553,538.3244624709142,565.2762922230321,966.094902770917,561.0401342943821,931.4152974603238,962.6733557550234,520.3928831824899,1048.1486808917455,580.7879119870761,545.0913306411913,634.7056896134077
PRC_FULL_PAYMENT,0.1537146484916212,0.12472375301702805,0.18189871625063697,0.28168970362473367,0.28497903429203564,0.12545169490915664,0.18851501791713332,0.11990194436519275,0.11372864507772018,0.2835157195402301,0.1938624680696661,0.11995215813253028,0.20745722843137268,0.1893804383202099,0.20006774193548382,0.3184381651865009,0.2137371686909582,0.11077636587383657,0.12091751070336405,0.10456002623101708,0.21286363539823,0.3210479390476192,0.12113397045101103,0.19418116759002763,0.18568269388954173,0.2201123422818793,0.1087948764044944,0.32856892105263186,0.22766177511961733,0.2179003015564202,0.12229878412698429,0.2447117358642973,0.09734418515015374,0.21931530353817494
TENURE,11.58413407821229,11.5093403868408,11.690269994905757,11.844349680170575,11.850663716814159,11.491275409246267,11.684770436730123,11.72039942938659,11.470904742925468,11.840229885057472,11.680696661828737,11.70933734939759,11.71078431372549,11.674540682414698,11.680286738351255,11.907637655417407,11.723346828609987,11.467218200620476,11.70183486238532,11.455131155085136,11.658407079646018,11.93142857142857,11.702954898911353,11.692520775623269,11.612220916568743,11.883668903803132,11.539325842696629,11.937246963562753,11.892344497607656,11.72568093385214,11.696825396825396,11.689822294022617,11.446204776542919,11.66852886405959
Monthly_avg_purchase,71.03092942763638,21.231063641576043,117.85733986984323,294.18566763853954,297.7733063446976,22.7314051449141,122.19238577211493,31.298526750591325,16.79090204959122,302.2170706635326,106.40879414741454,28.180584237925746,120.78234720206258,87.2987477266099,95.83613941566205,323.8736924821027,218.56001138408362,15.365906147081729,25.880343426069345,11.76905179780848,218.79637062534312,326.1579625757564,24.273731882813912,87.12395239694129,74.23809241059242,189.8454205691463,90.69806119582657,328.0160652297248,197.0420495280902,86.47465815534434,23.135867090977793,66.10409430066896,11.136988746789596,228.38597071372118
Monthly_cash_advance,73.6365778972795,82.76894228327238,55.070326507988355,53.59806969504794,54.784676461878654,65.08320666628823,42.36050955947532,245.46163869899087,68.2077961744237,54.609107126303606,41.06998161674732,251.22286870747095,44.96500812536171,42.853677328419,38.79082150168859,55.25829413728333,55.05201097394951,69.55637330809277,250.87255257786418,72.90335639211283,48.54985244839612,55.91445738938669,252.11842926445414,43.51754597633547,39.464822090553646,55.30801594558197,46.20807030316635,56.26596796698485,56.53084540272163,40.85265001521673,254.4199348158105,33.62998052140362,75.07368759735395,48.591333855333126
limit_usage,0.38397823685392124,0.4033400682709531,0.35134208852410426,0.32741644680040455,0.32831532000029323,0.3977837807856546,0.34386788736738294,0.44847373229204923,0.403669516909761,0.3331538659868569,0.3568440912619428,0.446892229296818,0.3261569829105824,0.340217107712961,0.3494214813987811,0.3308199808929934,0.3281539317732418,0.4071448336201305,0.44641870638218456,0.41243595585067616,0.31777462197640166,0.33315417812939774,0.44605647098693946,0.34208287045137437,0.3452123273233048,0.3766452491413514,0.3717558777631499,0.33102443543281435,0.36444003961591637,0.32434914398271847,0.4457590324349406,0.32511357740226543,0.4177742418264222,0.3223071750857367
cluster_3,0.4289385474860335,0.0,1.0,2.0,1.9988938053097345,0.01169275049469329,1.019036954087346,0.20970042796005706,0.0007971303308090873,1.9965517241379311,0.637155297532656,0.19578313253012047,1.0686274509803921,0.979002624671916,0.5254480286738351,2.0,1.5060728744939271,0.0,0.18042813455657492,0.0,1.5964601769911504,2.0,0.16951788491446346,0.9875346260387812,0.318448883666275,1.1700223713646531,0.702247191011236,2.0,1.1913875598086126,0.9980544747081712,0.15873015873015872,0.172859450726979,0.0,1.6778398510242085
cluster_4,1.255195530726257,1.1835014051909407,2.0397350993377485,0.07569296375266525,0.0,1.0,2.0,3.0,1.0031885213232363,0.006896551724137931,1.6248185776487662,2.9939759036144578,1.9284313725490196,1.9776902887139107,1.5168458781362006,0.0,1.0944669365721997,1.0008273009307136,2.9984709480122325,1.0009203865623562,0.9345132743362832,0.0,2.998444790046656,1.9903047091412742,1.309635722679201,1.7046979865771812,1.7044943820224718,0.0,1.6602870813397128,2.0,3.0,1.172859450726979,1.0014187751241428,0.7783985102420856
cluster_5,1.0835754189944133,0.4306496941643247,3.0275089149261336,1.2260127931769722,1.122787610619469,0.19823709300233855,3.095744680851064,2.9272467902995722,0.0,1.0,2.0,3.0,4.0,3.729658792650919,1.782795698924731,1.0,2.507422402159244,0.0,2.978593272171254,0.0,2.5362831858407078,1.0,2.978227060653188,3.7950138504155126,1.2338425381903644,2.203579418344519,2.0898876404494384,1.0,2.200956937799043,3.9669260700389106,2.9857142857142858,1.004038772213247,0.0,2.3482309124767227
cluster_6,3.056312849162011,3.7497106959828073,1.2333163525216506,2.399786780383795,2.377212389380531,3.604785033279367,1.022956326987682,4.763195435092725,3.8897967317656437,2.352873563218391,1.0870827285921625,4.933734939759036,0.9941176470588236,0.0,1.0,2.0,3.0,4.0,5.0,4.0,2.814159292035398,2.0171428571428573,4.993779160186625,0.023545706371191136,1.8519388954171563,2.105145413870246,1.2202247191011235,2.0040485829959516,2.1985645933014353,0.07782101167315175,5.0,2.2035541195476576,4.00023646252069,2.8379888268156424
cluster_7,1.9691620111731845,1.2296247313605555,4.250127356087621,1.964818763326226,2.006637168141593,1.0912034538586077,4.211086226203808,3.1711840228245363,0.6654045436428856,2.0517241379310347,5.12844702467344,3.091867469879518,3.3137254901960786,3.9763779527559056,5.131899641577061,1.925399644760213,2.5789473684210527,0.5056876938986556,3.05045871559633,0.0,1.0,2.0,3.0,4.0,5.0,6.0,4.606741573033708,2.0,5.894736842105263,3.88715953307393,3.0,4.240710823909532,0.08701820761409317,1.054003724394786
cluster_8,4.549162011173184,5.392130930732352,2.4941416199694344,3.4136460554371,3.273230088495575,5.505306709839899,2.481522956326988,3.8801711840228243,5.675368672777999,3.12183908045977,2.61611030478955,3.8689759036144578,3.280392156862745,2.031496062992126,2.9068100358422937,1.7388987566607461,5.048582995951417,5.757600827300931,3.90519877675841,5.956051541647492,6.435398230088496,1.3352380952380953,3.944012441679627,2.027700831024931,3.27262044653349,2.0648769574944073,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
Seg_size,8950.0,6049.0,1963.0,938.0,904.0,5559.0,1786.0,701.0,5018.0,870.0,1378.0,664.0,1020.0,762.0,1395.0,563.0,741.0,4835.0,654.0,4346.0,565.0,525.0,643.0,722.0,1702.0,447.0,890.0,494.0,418.0,514.0,630.0,1238.0,4229.0,537.0
Seg_Pct,1.0,0.6758659217877095,0.2193296089385475,0.10480446927374301,0.10100558659217877,0.6211173184357542,0.19955307262569832,0.07832402234636872,0.5606703910614526,0.09720670391061452,0.15396648044692737,0.07418994413407821,0.11396648044692738,0.08513966480446927,0.1558659217877095,0.06290502793296089,0.08279329608938547,0.5402234636871508,0.07307262569832403,0.4855865921787709,0.06312849162011173,0.05865921787709497,0.07184357541899442,0.08067039106145252,0.19016759776536313,0.04994413407821229,0.09944134078212291,0.055195530726256985,0.04670391061452514,0.05743016759776536,0.07039106145251396,0.1383240223463687,0.4725139664804469,0.06
